average_amount_transaction_day,transaction_amount,is_declined,total_number_of_declines_day,isforeigntransaction,ishighriskcountry,daily_chargeback_avg_amt,sixmonth_avg_chbk_amt,sixmonth_chbk_freq,isfradulent,ratio_trans_avg,is_high_transaction,risk_score,has_chargeback_history,chargeback_trend,foreign_high_risk
100.0,3000.0,0,5,1,1,0,0.0,0,1,29.702970297029704,1,3,0,0.0,1
100.0,4300.0,0,5,1,1,0,0.0,0,1,42.57425742574257,1,3,0,0.0,1
185.5,4823.0,1,5,0,0,0,0.0,0,1,25.86058981233244,1,2,0,0.0,0
185.5,5008.5,1,8,0,0,0,0.0,0,1,26.855227882037532,1,2,0,0.0,0
500.0,26000.0,0,0,1,1,800,677.2,6,1,51.89620758483034,1,2,1,0.8454431960049938,1
500.0,27000.0,0,0,1,1,800,677.2,6,1,53.89221556886228,1,2,1,0.8454431960049938,1
262.5,11287.5,0,0,0,0,900,345.5,7,1,42.83681214421252,1,0,1,0.3834628190899001,0
185.5,11130.0,1,20,0,0,0,0.0,0,1,59.67828418230563,1,2,0,0.0,0
185.5,6121.5,1,20,0,0,0,0.0,0,1,32.8230563002681,1,2,0,0.0,0
185.5,7049.0,1,20,0,0,0,0.0,0,1,37.79624664879356,1,2,0,0.0,0
166.788473,4836.865717,0,0,0,0,721,229.0,9,1,28.827163335588608,1,0,1,0.3171745152354571,0
444.9970144,21804.85371,0,0,1,1,0,0.0,0,1,48.89013380355041,1,2,0,0.0,1
152.451565,4116.192255,0,0,1,1,865,375.0,8,1,26.824048715306358,1,2,1,0.4330254041570439,1
36.91948763,2141.330283,0,5,1,1,0,0.0,0,1,56.470443479987495,1,3,0,0.0,1
806.1795426,23379.20674,0,0,0,0,816,811.0,5,1,28.964072435103365,1,0,1,0.99265605875153,0
257.0911668,10283.64667,0,4,1,0,0,0.0,0,1,39.84501599765715,1,2,0,0.0,0
601.4529708,24659.5718,0,7,0,0,0,0.0,0,1,40.931944890660006,1,1,0,0.0,0
222.5298151,12461.66965,0,9,1,0,0,0.0,0,1,55.749474155942245,1,2,0,0.0,0
231.0673178,12708.70248,0,0,0,0,986,650.0,8,1,54.76299980746362,1,0,1,0.6585612968591692,0
675.5694754,39858.59905,0,9,1,0,0,0.0,0,1,58.9127953584292,1,2,0,0.0,0
242.1517429,10654.67669,0,0,1,1,0,0.0,0,1,43.81904305075002,1,2,0,0.0,1
804.7617661,42652.3736,0,0,0,0,953,950.0,8,1,52.9342237302267,1,0,1,0.9958071278825996,0
432.0302518,22033.54284,0,8,1,1,0,0.0,0,1,50.88222531431001,1,3,0,0.0,1
356.8122632,16056.55184,0,9,1,1,0,0.0,0,1,44.874235713450524,1,3,0,0.0,1
456.2831178,15057.34289,0,0,1,1,0,0.0,0,1,32.92783464747449,1,2,0,0.0,1
